,Name,Genre
0,Rick and Morty,Adult Animation
1,Family Guy,Adult Animation
2,Bob's Burgers,Adult Animation
3,How I Met Your Mother,TV Sitcoms
4,Brooklyn Nine-Nine,TV Sitcoms
5,The Golden Girls,TV Sitcoms
6,It's Always Sunny in Philadelphia,Edgy TV Comedies
7,Workaholics,Edgy TV Comedies
8,Letterkenny,Edgy TV Comedies
9,Nobody's Fool,Comedy Films
10,Fun With Dick and Jane,Comedy Films
11,Daddy's Home 2,Comedy Films
12,Teen Titans Go!,Older Kids (9-12)
13,Pokémon,Older Kids (9-12)
14,Adventure Time,Older Kids (9-12)
15,This Is Us,Emotional TV Dramas
16,Power,Emotional TV Dramas
17,The Handmaid's Tale,Emotional TV Dramas
18,Castle Rock,High Stakes Dramas
19,The Good Doctor,High Stakes Dramas
20,Killing Eve,High Stakes Dramas
21,FYRE FRAUD,Documentaries
22,Free Solo,Documentaries
23,Ask Dr. Ruth,Documentaries
24,Naruto Shippuden,Anime
25,One-Punch Man,Anime
26,Doc McStuffins,Younger Kids (5-8)
27,Curious George,Younger Kids (5-8)
28,Sesame Street,Younger Kids (5-8)
29,Terminal,Action Films
30,Mission: Impossible - Fallout,Action Films
31,The Commuter,Action Films
32,Marvel's Runaways,Sci-Fi TV
33,Smallville,Sci-Fi TV
34,Fear the Walking Dead,Sci-Fi TV
35,RuPaul's Drag Race,Competition Shows
36,Survivor,Competition Shows
37,Shark Tank,Competition Shows
38,Transformers: Dark of the Moon,Sci-Fi Films
39,"I, Frankenstein",Sci-Fi Films
40,Annihilation,Sci-Fi Films
41,MasterChef,Food & Home Shows
42,Fixer Upper,Food & Home Shows
43,Chopped,Food & Home Shows
44,"I, Tonya",Drama Films
45,Ben Is Back,Drama Films
46,Acrimony,Drama Films
47,Wounds,Horror Films
48,Little Monsters,Horror Films
49,Jigsaw,Horror Films
50,MythBusters,Offbeat Unscripted Shows
51,My 600-lb Life,Offbeat Unscripted Shows
52,American Pickers,Offbeat Unscripted Shows
53,Keeping Up With the Kardashians,Reality TV
54,Jersey Shore,Reality TV
55,90 Day Fiancé,Reality TV
56,Younger,Young Adult/Romance
57,Booksmart,Young Adult/Romance
58,One Tree Hill,Young Adult/Romance
59,Law & Order: Special Victims Unit,TV Crime Dramas
60,Elementary,TV Crime Dramas
61,CSI: Crime Scene Investigation,TV Crime Dramas
62,Destroyer,Thrillers
63,Death Wish,Thrillers
64,2:22,Thrillers
65,WWE Monday Night Raw,Wrestling & MMA
66,Total Bellas,Wrestling & MMA
67,WWE SmackDown,Wrestling & MMA
68,ABC 20/20,Daytime & News
69,Good Morning America,Daytime & News
70,General Hospital,Daytime & News
71,Misfits,International TV
72,Saving Hope,International TV
73,The Office (U.K.),International TV
74,Ellen's Game of Games,Specials
75,Brad Paisley Thinks He's Special,Specials
76,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""",Specials
77,Tierra de Reyes,Spanish Language
78,La Patrona,Spanish Language
79,Rica Famosa Latina,Spanish Language
80,The L Word,LGBTQ+
81,Vita & Virginia,LGBTQ+
82,Beach Rats,LGBTQ+
83,The Legend of the Blue Sea,Asian Dramas
84,While You Were Sleeping (TV),Asian Dramas
85,Oh My Venus,Asian Dramas
