Episode Name,Series Name,Season,Last Played At
Chasing Amy,Brooklyn Nine-Nine,4,1/11/22 2:27
Cop Con,Brooklyn Nine-Nine,4,1/11/22 2:00
Moo Moo,Brooklyn Nine-Nine,4,1/9/22 23:43
The Last Ride,Brooklyn Nine-Nine,4,1/9/22 23:18
Serve and Protect,Brooklyn Nine-Nine,4,1/9/22 23:16
The Audit,Brooklyn Nine-Nine,4,1/9/22 22:57
"The Fugitive, Part 1",Brooklyn Nine-Nine,4,1/9/22 3:56
"The Fugitive, Part 2",Brooklyn Nine-Nine,4,1/9/22 3:35
Captain Latvia,Brooklyn Nine-Nine,4,1/8/22 4:48
The Overmining,Brooklyn Nine-Nine,4,1/8/22 1:43
Skyfire Cycle,Brooklyn Nine-Nine,4,1/8/22 0:18
Mr. Santiago,Brooklyn Nine-Nine,4,1/7/22 23:51
Monster in the Closet,Brooklyn Nine-Nine,4,1/7/22 23:24
Halloween IV,Brooklyn Nine-Nine,4,1/7/22 3:35
The Night Shift,Brooklyn Nine-Nine,4,1/7/22 3:05
"Coral Palms, Part 3",Brooklyn Nine-Nine,4,1/6/22 3:42
"Coral Palms, Part 1",Brooklyn Nine-Nine,4,1/6/22 0:52
Det. Dave Majors,Brooklyn Nine-Nine,2,1/5/22 4:33
Greg and Larry,Brooklyn Nine-Nine,3,1/5/22 1:34
Maximum Security,Brooklyn Nine-Nine,3,1/5/22 0:52
Paranoia,Brooklyn Nine-Nine,3,1/2/22 5:03
Terry Kitties,Brooklyn Nine-Nine,3,1/2/22 4:38
Cheddar,Brooklyn Nine-Nine,3,1/2/22 3:51
Adrian Pimento,Brooklyn Nine-Nine,3,12/31/21 4:10
House Mouses,Brooklyn Nine-Nine,3,12/31/21 3:06
The 9-8,Brooklyn Nine-Nine,3,12/31/21 1:34
Karen Peralta,Brooklyn Nine-Nine,3,12/30/21 4:10
The Cruise,Brooklyn Nine-Nine,3,12/29/21 16:22
9 Days,Brooklyn Nine-Nine,3,12/29/21 4:11
Parasite,N/A,N/A,12/29/21 2:24
Meth,Trafficked with Mariana van Zeller,2,12/29/21 1:46
Counterfeiting,Trafficked with Mariana van Zeller,1,12/29/21 1:43
Fentanyl,Trafficked with Mariana van Zeller,1,12/29/21 1:43
Hostage Situation,Brooklyn Nine-Nine,3,12/29/21 0:27
Yippie Kayak,Brooklyn Nine-Nine,3,12/28/21 20:28
The Swedes,Brooklyn Nine-Nine,3,12/28/21 19:57
Ava,Brooklyn Nine-Nine,3,12/27/21 23:48
The Mattress,Brooklyn Nine-Nine,3,12/27/21 23:00
Into the Woods,Brooklyn Nine-Nine,3,12/27/21 15:43
Halloween III,Brooklyn Nine-Nine,3,12/27/21 14:58
The Oolong Slayer,Brooklyn Nine-Nine,3,12/27/21 2:40
Boyle's Hunch,Brooklyn Nine-Nine,3,12/27/21 1:11
The Funeral,Brooklyn Nine-Nine,3,12/26/21 22:11
New Captain,Brooklyn Nine-Nine,3,12/26/21 21:44
Johnny and Dora,Brooklyn Nine-Nine,2,12/26/21 21:15
The Chopper,Brooklyn Nine-Nine,2,12/26/21 20:48
AC/DC,Brooklyn Nine-Nine,2,12/25/21 21:56
Sabotage,Brooklyn Nine-Nine,2,12/24/21 23:39
Captain Peralta,Brooklyn Nine-Nine,2,12/24/21 23:12
The Boyle-Linetti Wedding,Brooklyn Nine-Nine,2,12/23/21 23:31
The Wednesday Incident,Brooklyn Nine-Nine,2,12/23/21 20:43
Windbreaker City,Brooklyn Nine-Nine,2,12/23/21 20:15
The Defense Rests,Brooklyn Nine-Nine,2,12/22/21 1:01
Payback,Brooklyn Nine-Nine,2,12/21/21 0:57
Paul Rudd,Saturday Night Live,47,12/19/21 22:44
Beach House,Brooklyn Nine-Nine,2,12/18/21 5:37
Stakeout,Brooklyn Nine-Nine,2,12/18/21 3:35
Episode 1,The Great Christmas Light Fight,9,12/17/21 3:45
2 Hour Grand Finale Part 1 / 2 ,The Masked Singer,6,12/17/21 3:45
Hour Grand Finale Part 2,,,
The Pontiac Bandit Returns,Brooklyn Nine-Nine,2,12/16/21 3:32
The Road Trip,Brooklyn Nine-Nine,2,12/16/21 3:05
Uspis,Brooklyn Nine-Nine,2,12/15/21 4:24
Lockdown,Brooklyn Nine-Nine,2,12/15/21 3:48
Jake and Sophia,Brooklyn Nine-Nine,2,12/14/21 4:13
The Mole,Brooklyn Nine-Nine,2,12/14/21 3:43
Halloween II,Brooklyn Nine-Nine,2,12/14/21 1:37
The Jimmy Jab Games,Brooklyn Nine-Nine,2,12/14/21 1:25
Billie Eilish,Saturday Night Live,47,12/12/21 19:40
Chocolate Milk,Brooklyn Nine-Nine,2,12/12/21 4:37
Unsolvable,Brooklyn Nine-Nine,1,12/12/21 4:10
Undercover,Brooklyn Nine-Nine,2,12/12/21 0:41
Charges and Specs,Brooklyn Nine-Nine,1,12/11/21 23:27
The Apartment,Brooklyn Nine-Nine,1,12/11/21 4:05
Tactical Village,Brooklyn Nine-Nine,1,12/11/21 4:05
Fancy Brudgom,Brooklyn Nine-Nine,1,12/11/21 3:34
Before the Law,Fargo,2,12/11/21 2:57
Scams,Trafficked with Mariana van Zeller,1,12/11/21 1:12
Waiting for Dutch,Fargo,2,12/11/21 0:32
Mortons Fork,Fargo,1,12/10/21 4:13
"A Fox, a Rabbit, and a Cabbage",Fargo,1,12/10/21 1:09
Full Boyle,Brooklyn Nine-Nine,1,12/9/21 22:43
The Party,Brooklyn Nine-Nine,1,12/9/21 3:06
Operation: Broken Feather,Brooklyn Nine-Nine,1,12/9/21 2:57
Christmas,Brooklyn Nine-Nine,1,12/8/21 3:33
The Heap,Fargo,1,12/8/21 2:15
The Ebony Falcon,Brooklyn Nine-Nine,1,12/8/21 0:41
The Bet,Brooklyn Nine-Nine,1,12/8/21 0:14
Who Shaves the Barber?,Fargo,1,12/7/21 3:43
Pontiac Bandit,Brooklyn Nine-Nine,1,12/7/21 2:49
Buridan's Ass,Fargo,1,12/7/21 1:16
Thanksgiving,Brooklyn Nine-Nine,1,12/6/21 2:38
Episode 6,The Great Christmas Light Fight,9,12/4/21 18:13
Sal's Pizza,Brooklyn Nine-Nine,1,12/4/21 4:15
The Six Ungraspables,Fargo,1,12/4/21 3:44
Old School,Brooklyn Nine-Nine,1,12/4/21 2:07
A Saturday Night Live Thanksgiving,Saturday Night Live,47,12/4/21 2:05
Group a Finale,The Masked Singer,6,12/4/21 2:04
48 Hours,Brooklyn Nine-Nine,1,12/4/21 1:17
Halloween,Brooklyn Nine-Nine,1,12/3/21 23:22
Eating the Blame,Fargo,1,12/3/21 4:27
The Vulture,Brooklyn Nine-Nine,1,12/3/21 2:28
A Muddy Road,Fargo,1,12/3/21 1:55
The Rooster Prince,Fargo,1,12/2/21 3:22
The Crocodiles Dilemma,Fargo,1,12/2/21 0:22
M.E. Time,Brooklyn Nine-Nine,1,12/1/21 1:35
The Slump,Brooklyn Nine-Nine,1,12/1/21 1:07
The Tagger,Brooklyn Nine-Nine,1,12/1/21 0:36
Pilot,Brooklyn Nine-Nine,1,11/30/21 2:12
"The Big House, Part 1",Brooklyn Nine-Nine,5,11/29/21 4:01
Crime & Punishment,Brooklyn Nine-Nine,4,11/29/21 1:39
The Bank Job,Brooklyn Nine-Nine,4,11/29/21 0:38
The Slaughterhouse,Brooklyn Nine-Nine,4,11/27/21 22:44
"Glen Godwin, Eugene Palmer, and Jennifer Settle",America's Most Wanted,1,11/26/21 22:36
Episode 1,The Great Christmas Light Fight,5,11/26/21 22:00
"Maurice Nesbitt, Josephine Overaker, and Frederick Arias",America's Most Wanted,1,11/26/21 17:00
