,Episode Name,Series Name,Season,Watch_Date,Watch_Time
0,Chasing Amy,Brooklyn Nine-Nine,4.0,2022-01-11,02:27:00
1,Cop Con,Brooklyn Nine-Nine,4.0,2022-01-11,02:00:00
2,Moo Moo,Brooklyn Nine-Nine,4.0,2022-01-09,23:43:00
3,The Last Ride,Brooklyn Nine-Nine,4.0,2022-01-09,23:18:00
4,Serve and Protect,Brooklyn Nine-Nine,4.0,2022-01-09,23:16:00
5,The Audit,Brooklyn Nine-Nine,4.0,2022-01-09,22:57:00
6,"The Fugitive, Part 1",Brooklyn Nine-Nine,4.0,2022-01-09,03:56:00
7,"The Fugitive, Part 2",Brooklyn Nine-Nine,4.0,2022-01-09,03:35:00
8,Captain Latvia,Brooklyn Nine-Nine,4.0,2022-01-08,04:48:00
9,The Overmining,Brooklyn Nine-Nine,4.0,2022-01-08,01:43:00
10,Skyfire Cycle,Brooklyn Nine-Nine,4.0,2022-01-08,00:18:00
11,Mr. Santiago,Brooklyn Nine-Nine,4.0,2022-01-07,23:51:00
12,Monster in the Closet,Brooklyn Nine-Nine,4.0,2022-01-07,23:24:00
13,Halloween IV,Brooklyn Nine-Nine,4.0,2022-01-07,03:35:00
14,The Night Shift,Brooklyn Nine-Nine,4.0,2022-01-07,03:05:00
15,"Coral Palms, Part 3",Brooklyn Nine-Nine,4.0,2022-01-06,03:42:00
16,"Coral Palms, Part 1",Brooklyn Nine-Nine,4.0,2022-01-06,00:52:00
17,Det. Dave Majors,Brooklyn Nine-Nine,2.0,2022-01-05,04:33:00
18,Greg and Larry,Brooklyn Nine-Nine,3.0,2022-01-05,01:34:00
19,Maximum Security,Brooklyn Nine-Nine,3.0,2022-01-05,00:52:00
20,Paranoia,Brooklyn Nine-Nine,3.0,2022-01-02,05:03:00
21,Terry Kitties,Brooklyn Nine-Nine,3.0,2022-01-02,04:38:00
22,Cheddar,Brooklyn Nine-Nine,3.0,2022-01-02,03:51:00
23,Adrian Pimento,Brooklyn Nine-Nine,3.0,2021-12-31,04:10:00
24,House Mouses,Brooklyn Nine-Nine,3.0,2021-12-31,03:06:00
25,The 9-8,Brooklyn Nine-Nine,3.0,2021-12-31,01:34:00
26,Karen Peralta,Brooklyn Nine-Nine,3.0,2021-12-30,04:10:00
27,The Cruise,Brooklyn Nine-Nine,3.0,2021-12-29,16:22:00
28,9 Days,Brooklyn Nine-Nine,3.0,2021-12-29,04:11:00
30,Meth,Trafficked with Mariana van Zeller,2.0,2021-12-29,01:46:00
31,Counterfeiting,Trafficked with Mariana van Zeller,1.0,2021-12-29,01:43:00
32,Fentanyl,Trafficked with Mariana van Zeller,1.0,2021-12-29,01:43:00
33,Hostage Situation,Brooklyn Nine-Nine,3.0,2021-12-29,00:27:00
34,Yippie Kayak,Brooklyn Nine-Nine,3.0,2021-12-28,20:28:00
35,The Swedes,Brooklyn Nine-Nine,3.0,2021-12-28,19:57:00
36,Ava,Brooklyn Nine-Nine,3.0,2021-12-27,23:48:00
37,The Mattress,Brooklyn Nine-Nine,3.0,2021-12-27,23:00:00
38,Into the Woods,Brooklyn Nine-Nine,3.0,2021-12-27,15:43:00
39,Halloween III,Brooklyn Nine-Nine,3.0,2021-12-27,14:58:00
40,The Oolong Slayer,Brooklyn Nine-Nine,3.0,2021-12-27,02:40:00
41,Boyle's Hunch,Brooklyn Nine-Nine,3.0,2021-12-27,01:11:00
42,The Funeral,Brooklyn Nine-Nine,3.0,2021-12-26,22:11:00
43,New Captain,Brooklyn Nine-Nine,3.0,2021-12-26,21:44:00
44,Johnny and Dora,Brooklyn Nine-Nine,2.0,2021-12-26,21:15:00
45,The Chopper,Brooklyn Nine-Nine,2.0,2021-12-26,20:48:00
46,AC/DC,Brooklyn Nine-Nine,2.0,2021-12-25,21:56:00
47,Sabotage,Brooklyn Nine-Nine,2.0,2021-12-24,23:39:00
48,Captain Peralta,Brooklyn Nine-Nine,2.0,2021-12-24,23:12:00
49,The Boyle-Linetti Wedding,Brooklyn Nine-Nine,2.0,2021-12-23,23:31:00
50,The Wednesday Incident,Brooklyn Nine-Nine,2.0,2021-12-23,20:43:00
51,Windbreaker City,Brooklyn Nine-Nine,2.0,2021-12-23,20:15:00
52,The Defense Rests,Brooklyn Nine-Nine,2.0,2021-12-22,01:01:00
53,Payback,Brooklyn Nine-Nine,2.0,2021-12-21,00:57:00
54,Paul Rudd,Saturday Night Live,47.0,2021-12-19,22:44:00
55,Beach House,Brooklyn Nine-Nine,2.0,2021-12-18,05:37:00
56,Stakeout,Brooklyn Nine-Nine,2.0,2021-12-18,03:35:00
57,Episode 1,The Great Christmas Light Fight,9.0,2021-12-17,03:45:00
58,2 Hour Grand Finale Part 1 / 2 ,The Masked Singer,6.0,2021-12-17,03:45:00
60,The Pontiac Bandit Returns,Brooklyn Nine-Nine,2.0,2021-12-16,03:32:00
61,The Road Trip,Brooklyn Nine-Nine,2.0,2021-12-16,03:05:00
62,Uspis,Brooklyn Nine-Nine,2.0,2021-12-15,04:24:00
63,Lockdown,Brooklyn Nine-Nine,2.0,2021-12-15,03:48:00
64,Jake and Sophia,Brooklyn Nine-Nine,2.0,2021-12-14,04:13:00
65,The Mole,Brooklyn Nine-Nine,2.0,2021-12-14,03:43:00
66,Halloween II,Brooklyn Nine-Nine,2.0,2021-12-14,01:37:00
67,The Jimmy Jab Games,Brooklyn Nine-Nine,2.0,2021-12-14,01:25:00
68,Billie Eilish,Saturday Night Live,47.0,2021-12-12,19:40:00
69,Chocolate Milk,Brooklyn Nine-Nine,2.0,2021-12-12,04:37:00
70,Unsolvable,Brooklyn Nine-Nine,1.0,2021-12-12,04:10:00
71,Undercover,Brooklyn Nine-Nine,2.0,2021-12-12,00:41:00
72,Charges and Specs,Brooklyn Nine-Nine,1.0,2021-12-11,23:27:00
73,The Apartment,Brooklyn Nine-Nine,1.0,2021-12-11,04:05:00
74,Tactical Village,Brooklyn Nine-Nine,1.0,2021-12-11,04:05:00
75,Fancy Brudgom,Brooklyn Nine-Nine,1.0,2021-12-11,03:34:00
76,Before the Law,Fargo,2.0,2021-12-11,02:57:00
77,Scams,Trafficked with Mariana van Zeller,1.0,2021-12-11,01:12:00
78,Waiting for Dutch,Fargo,2.0,2021-12-11,00:32:00
79,Mortons Fork,Fargo,1.0,2021-12-10,04:13:00
80,"A Fox, a Rabbit, and a Cabbage",Fargo,1.0,2021-12-10,01:09:00
81,Full Boyle,Brooklyn Nine-Nine,1.0,2021-12-09,22:43:00
82,The Party,Brooklyn Nine-Nine,1.0,2021-12-09,03:06:00
83,Operation: Broken Feather,Brooklyn Nine-Nine,1.0,2021-12-09,02:57:00
84,Christmas,Brooklyn Nine-Nine,1.0,2021-12-08,03:33:00
85,The Heap,Fargo,1.0,2021-12-08,02:15:00
86,The Ebony Falcon,Brooklyn Nine-Nine,1.0,2021-12-08,00:41:00
87,The Bet,Brooklyn Nine-Nine,1.0,2021-12-08,00:14:00
88,Who Shaves the Barber?,Fargo,1.0,2021-12-07,03:43:00
89,Pontiac Bandit,Brooklyn Nine-Nine,1.0,2021-12-07,02:49:00
90,Buridan's Ass,Fargo,1.0,2021-12-07,01:16:00
91,Thanksgiving,Brooklyn Nine-Nine,1.0,2021-12-06,02:38:00
92,Episode 6,The Great Christmas Light Fight,9.0,2021-12-04,18:13:00
93,Sal's Pizza,Brooklyn Nine-Nine,1.0,2021-12-04,04:15:00
94,The Six Ungraspables,Fargo,1.0,2021-12-04,03:44:00
95,Old School,Brooklyn Nine-Nine,1.0,2021-12-04,02:07:00
